NetAlan,Sehir,Ilce,Mahalle,Fiyat,OdaSayisi,SalonSayisi,BinaYasi,BalkonSayisi,SiteIcerisinde,KatTipi
92.0,Istanbul,Tuzla,Mimarsinan,3650000,2.0,1.0,22,1,1,Normal
85.0,Istanbul,Esenyurt,Kıraç,748000,0.0,0.0,28,0,1,Normal
130.0,Istanbul,Pendik,Yenişehir,7630000,3.0,1.0,14,1,0,Normal
365.0,Istanbul,Başakşehir,Bahçeşehir,24000000,5.0,1.0,11,1,1,Tripleks
150.0,Istanbul,Başakşehir,İkitelli,12600000,3.0,1.0,1,1,1,Normal
90.0,Istanbul,Beylikdüzü,Kavaklı,1199000,1.0,1.0,27,0,1,Normal
80.0,Istanbul,Esenyurt,Haramidere,2200000,2.0,1.0,7,1,1,Normal
60.0,Istanbul,Arnavutköy,Boğazköy,3875000,1.0,1.0,2,0,0,Normal
90.0,Istanbul,Pendik,Esenyalı,2750000,2.0,1.0,28,0,0,Normal
100.0,Istanbul,Beylikdüzü,Kavaklı,2080000,2.0,1.0,29,2,1,Normal
100.0,Istanbul,Eyüpsultan,Yeşilpınar,5500000,2.0,1.0,14,2,1,Normal
85.0,Istanbul,Esenyurt,Haramidere,2950000,2.0,1.0,2,1,1,Normal
88.0,Istanbul,Tuzla,Tersaneler,3400000,1.0,1.0,22,0,1,Normal
52.0,Istanbul,Ataşehir,Kayışdağı,4500000,1.0,1.0,0,0,1,Normal
105.0,Istanbul,Kartal,Yakacık,2500000,3.0,1.0,26,2,0,Normal
110.0,Istanbul,Gaziosmanpaşa,Kazımkarabekir,3650000,3.0,1.0,19,1,1,Normal
85.0,Istanbul,Sarıyer,Merkez,7500000,2.0,1.0,18,1,0,Normal
55.0,Istanbul,Şişli,Esentepe,8950000,1.0,1.0,1,1,0,Normal
140.0,Istanbul,Zeytinburnu,Beştelsiz,6250000,3.0,1.0,24,2,0,Normal
80.0,Istanbul,Küçükçekmece,Sefaköy,2750000,2.0,1.0,22,0,0,Normal
63.0,Istanbul,Kartal,Esentepe,6500000,2.0,1.0,2,0,1,Normal
70.0,Istanbul,Beylikdüzü,Yakuplu,1925000,1.0,1.0,21,0,1,Normal
70.0,Istanbul,Kağıthane,Seyrantepe,4200000,2.0,1.0,18,0,0,Normal
100.0,Istanbul,Kartal,Soğanlık,1925000,2.0,1.0,29,0,0,Normal
100.0,Istanbul,Kartal,Soğanlık,5950000,2.0,1.0,15,1,0,Normal
110.0,Istanbul,Silivri,Değirmenköy,4300000,2.0,1.0,8,2,1,Normal
95.0,Istanbul,Gaziosmanpaşa,Küçükköy,3000000,2.0,1.0,24,0,1,Normal
120.0,Istanbul,Sancaktepe,Samandıra,7575000,3.0,1.0,1,1,1,Normal
120.0,Istanbul,Küçükçekmece,Merkez,2400000,3.0,1.0,28,1,0,Normal
95.0,Istanbul,Esenyurt,Kıraç,3500000,2.0,1.0,1,1,1,Normal
130.0,Istanbul,Esenyurt,Kıraç,4000000,2.0,1.0,4,0,1,Normal
90.0,Istanbul,Şişli,Okmeydanı,1750000,2.0,1.0,28,1,0,Normal
100.0,Istanbul,Silivri,Değirmenköy,2900000,2.0,1.0,13,2,1,Normal
110.0,Istanbul,Beylikdüzü,Kavaklı,2675000,2.0,1.0,29,1,0,Normal
130.0,Istanbul,Üsküdar,Bulgurlu,7550000,3.0,1.0,26,0,0,Normal
220.0,Istanbul,Esenyurt,Haramidere,5600000,4.0,2.0,13,2,0,Normal
85.0,Istanbul,Tuzla,Tersaneler,5540000,2.0,1.0,3,1,1,Normal
75.0,Istanbul,Eyüpsultan,Göktürk,2800000,2.0,1.0,29,0,0,Normal
150.0,Istanbul,Esenyurt,Kıraç,3600000,3.0,1.0,17,2,0,Normal
120.0,Istanbul,Avcılar,Gümüşpala,2850000,2.0,1.0,26,0,0,Normal
140.0,Istanbul,Esenyurt,Kıraç,1000000,2.0,1.0,29,3,0,Normal
115.0,Istanbul,Pendik,Yenişehir,10500000,2.0,1.0,2,2,1,Normal
